Null,CountyID,PollingID,County,Precinct,Polling Location,Address1,Address2,Zip Code
0,1,1,Alamance,COBLE,ALAMANCE CIVITAN CLUB HOUSE,3328 DOCTOR PICKETT RD,"BURLINGTON, NC",27215
0,1,2,Alamance,EAST BURLINGTON,FAIRCHILD COMMUNITY CENTER,827 S GRAHAM-HOPEDALE RD,"BURLINGTON, NC",27217
0,1,3,Alamance,MORTON,ALTAMAHAW OSSIPEE COMMUNITY CENTER,3211 OSCEOLA RD,"ELON, NC",27244
0,1,4,Alamance,MELVILLE 3,HAWFIELDS MIDDLE SCHOOL,1951 S NC HWY 119,"MEBANE, NC",27302
0,1,5,Alamance,BURLINGTON 9,BAPTIST TEMPLE,2224 ANTHONY RD,"BURLINGTON, NC",27215
0,1,6,Alamance,SOUTH GRAHAM,BETHANY PRESBYTERIAN CHURCH,1500 S MAIN ST,"GRAHAM, NC",27253
0,1,7,Alamance,SOUTH NEWLIN,CHATHAM FRIENDS MEETING,4507 GREENHILL RD,"SNOW CAMP, NC",27349
0,1,9,Alamance,NORTH NEWLIN,ELI WHITNEY RECREATION CENTER,4110 E GREENSBORO CHAPEL HILL RD,"GRAHAM, NC",27253
0,1,10,Alamance,BURLINGTON 7,ELMIRA COMMUNITY CENTER,810 WICKER ST,"BURLINGTON, NC",27217
0,1,11,Alamance,BOONE 5,ANTIOCH COMMUNITY CHURCH,1600 POWER LINE RD,"ELON, NC",27244
0,1,12,Alamance,NORTH BOONE,FIRST BAPTIST CHURCH OF ELON,621 E HAGGARD AVE,"ELON, NC",27244
0,1,13,Alamance,FAUCETTE,LAKEVIEW COMMUNITY CHURCH,101 BOONE RD,"BURLINGTON, NC",27217
0,1,14,Alamance,GRAHAM 4,FELLOWSHIP BAPTIST CHURCH,2744 MAPLE AVE,"BURLINGTON, NC",27215
0,1,15,Alamance,WEST BURLINGTON,FIRST PRESBYTERIAN CHURCH,508 W DAVIS ST,"BURLINGTON, NC",27215
0,1,16,Alamance,EAST GRAHAM,GRAHAM CIVIC CENTER,503 MCGEE ST,"GRAHAM, NC",27253
0,1,17,Alamance,NORTH GRAHAM,GRAHAM RECREATION CENTER,311 COLLEGE ST,"GRAHAM, NC",27253
0,1,18,Alamance,BURLINGTON 5,GROVE PARK BAPTIST CHURCH,108 TRAIL ONE,"BURLINGTON, NC",27215
0,1,19,Alamance,HAW RIVER,HAW RIVER CIVIC CENTER,110 STONE ST,"HAW RIVER, NC",27258
0,1,20,Alamance,BURLINGTON 4,HILLCREST ELEMENTARY SCHOOL,1714 W DAVIS ST,"BURLINGTON, NC",27215
0,1,22,Alamance,BURLINGTON 8,KERNODLE SENIOR ACTIVITIES CENTER,1535 S MEBANE ST,"BURLINGTON, NC",27215
0,1,23,Alamance,NORTH BURLINGTON,MAYCO BIGELO CENTER,849 SHARPE RD,"BURLINGTON, NC",27217
0,1,24,Alamance,SOUTH MELVILLE,MEBANE ARTS COMMUNITY CENTER,622 CORREGIDOR ST,"MEBANE, NC",27302
0,1,25,Alamance,NORTH MELVILLE,MEBANE FIRE STATION,405 N FIRST ST,"MEBANE, NC",27302
0,1,26,Alamance,PATTERSON,SYLVAN ELEMENTARY SCHOOL,7718 SYLVAN RD,"SNOW CAMP, NC",27349
0,1,27,Alamance,GRAHAM 3,R HOMER ANDREWS ELEMENTARY SCHOOL,2630 BUCKINGHAM RD,"BURLINGTON, NC",27217
0,1,28,Alamance,SOUTH BURLINGTON,NEW BIRTH BAPTISH CHURCH,424 S FLANNER ST,"BURLINGTON, NC",27215
0,1,29,Alamance,WEST GRAHAM,HARVEY R NEWLIN ELEMENTARY SCHOOL,316 CARDEN ST,"BURLINGTON, NC",27215
0,1,30,Alamance,PLEASANT GROVE,PLEASANT GROVE ELEMENTARY SCHOOL,2847 PLEASANT GROVE UNION SCHOOL RD,"BURLINGTON, NC",27217
0,1,31,Alamance,SOUTH THOMPSON,SALEM UNITED METHODIST CHURCH,4924 SALEM CHURCH RD,"HAW RIVER, NC",27258
0,1,32,Alamance,SOUTH BOONE,MARVIN B SMITH ELEMENTARY SCHOOL,2235 DELANEY DR,"BURLINGTON, NC",27215
0,1,33,Alamance,ALBRIGHT,MT HERMON COMMUNITY CENTER,3735 BASS MOUNTAIN RD,"GRAHAM, NC",27253
0,1,34,Alamance,BURLINGTON 10,ST PAUL'S UNITED METHODIST CHURCH,609 TRAIL TWO,"BURLINGTON, NC",27215
0,1,35,Alamance,NORTH THOMPSON,SWEPSONVILLE FIRE STATION,2744 DARRELL NEWTON DR,"GRAHAM, NC",27253
0,1,36,Alamance,BURLINGTON 6,TURRENTINE MIDDLE SCHOOL,1710 EDGEWOOD AVE,"BURLINGTON, NC",27215
0,1,37,Alamance,NORTH BOONE 2,TWIN LAKES CENTER- THE CHAPEL,3801 WADE COBLE DR,"BURLINGTON, NC",27215
0,1,40,Alamance,WEST BOONE,BETH SCHMIDT PARK COMMUNITY CENTER,2150 ELON PARK DR,"ELON, NC",27244
0,1,41,Alamance,MELVILLE 4,OLD MEBANE RECREATION CENTER,209 W JACKSON ST,"MEBANE, NC",27302
0,1,42,Alamance,CENTRAL BOONE,TRINITY WORSHIP CENTER,3157 S CHURCH ST,"BURLINGTON, NC",27215
0,2,13,Alexander,LITTLE RIVER AND SUGAR LOAF,LITTLE RIVER COMMUNITY BUILDING,2141 LITTLE RIVER CHURCH RD,"TAYLORSVILLE, NC",28681
0,2,16,Alexander,MILLERS,DRUMSTAND COMMUNITY BLDG,7830 PAUL PAYNE STORE RD,"TAYLORSVILLE, NC",28681
0,2,19,Alexander,TAYLORSVILLE #1 #4 #5,ALEXANDER SENIOR CENTER,730 SW 7TH ST,"TAYLORSVILLE, NC",28681
0,2,21,Alexander,BETHLEHEM #2,BETHLEHEM COMMUNITY FIRE & RESCUE DEPT,7373 NC HWY 127,"TAYLORSVILLE, NC",28681
0,2,22,Alexander,GWALTNEY #1 #2,GWALTNEY COMMUNITY BUILDING,2218 SHARPE MILL RD,"HIDDENITE, NC",28636
0,2,24,Alexander,TAYLORSVILLE #2 #3,ALEXANDER COUNTY YMCA,260 BLACK OAK RIDGE RD,"TAYLORSVILLE, NC",28681
0,2,26,Alexander,ELLENDALE,ST LUKE LUTHERAN CHURCH,1364 CHURCH RD,"TAYLORSVILLE, NC",28681
0,2,27,Alexander,WITTENBURG,FRIENDSHIP LUTHERAN CHURCH,5300 CHURCH RD,"TAYLORSVILLE, NC",28681
0,2,29,Alexander,BETHLEHEM #1,SHILOH LUTHERAN CHURCH,1011 SHILOH CHURCH RD,"HICKORY, NC",28601
0,2,30,Alexander,SHARPES #1 #2,HIDDENITE FIRE DEPARTMENT,4975 E NC 90 HWY,"HIDDENITE, NC",28636
0,3,1,Alleghany,CHERRY LANE,CHERRY LANE VOLUNTEER FIRE DEPARTMENT,8378 US HIGHWAY 21 SOUTH,"GLADE VALLEY, NC",28627
0,3,6,Alleghany,PRATHERS CREEK,MOUNT ZION UNITED METHODIST CHURCH,3128 MOUNT ZION CHURCH RD,"PINEY CREEK, NC",28663
0,3,12,Alleghany,GLADE CREEK,GLADE CREEK VOLUNTEER FIRE DEPARTMENT,6374 GLADE VALLEY RD,"ENNICE, NC",28623
0,3,13,Alleghany,GAP CIVIL,SPARTA UNITED METHODIST CHURCH,190 N MAIN ST,"SPARTA, NC",28675
0,4,1,Anson,ANSONVILLE,ANSONVILLE FIRE-RESCUE,9145 US HWY 52 N,"ANSONVILLE, NC",28007
0,4,2,Anson,BURNSVILLE,BURNSVILLE FIRE-RESCUE,33 RESCUE RD,"POLKTON, NC",28135
0,4,3,Anson,GULLEDGE,GULLEDGE FIRE DEPT,34 CHEWNING RD,"WADESBORO, NC",28170
0,4,4,Anson,LILESVILLE,LILESVILLE FIRE DEPARTMENT,202 W WALL ST,"LILESVILLE, NC",28091
0,4,5,Anson,MORVEN/MCFARLAN,MORVEN- MCFARLAN FIRE DEPT,242 E MAIN ST,"MORVEN, NC",28119
0,4,6,Anson,PEACHLAND,PEACHLAND FIRE DEPARTMENT,35 E PASSAIC ST,"PEACHLAND, NC",28133
0,4,7,Anson,POLKTON,POLKTON FIRE DEPT,61 W POLK ST,NC,28133
0,4,8,Anson,WADESBORO,WADESBORO-LOCKHART TAYLOR,514 N WASHINGTON ST,"WADESBORO, NC",28170
0,4,11,Anson,WHITE STORE,WHITE STORE-COMMUNITY BLDG,5672 UNION CHURCH RD,"PEACHLAND, NC",28133
0,5,1,Ashe,JEFFERSON,JEFFERSON,205 NORTHWEST DR,"JEFFERSON, NC",28640
0,5,2,Ashe,PINEY CREEK,PINEY CREEK,9281 NC HWY 194 N,"LANSING, NC",28643
0,5,3,Ashe,WEST JEFFERSON,WEST JEFFERSON,303 SCHOOL AVE,"WEST JEFFERSON, NC",28694
0,5,4,Ashe,CLIFTON,CLIFTON,169 WARRENSVILLE SCHOOL RD,"WARRENSVILLE, NC",28693
0,5,5,Ashe,CRESTON,CRESTON,157 WORTH CHAPEL RD,"CRESTON, NC",28615
0,5,6,Ashe,ELK,ELK,319 ZION METHODIST CHURCH RD,"TODD, NC",28684
0,5,7,Ashe,HELTON,HELTON,240 OLD HELTON SCHOOL RD,"LANSING, NC",28643
0,5,8,Ashe,HURRICANE,HURRICANE,3775 BIG HORSE CREEK RD,"LANSING, NC",28643
0,5,9,Ashe,HORSE CREEK,HORSE CREEK,104 LITTLE HORSE CREEK RD,"LANSING, NC",28643
0,5,10,Ashe,LAUREL,LAUREL,11775 NC HWY 88 W,"CRESTON, NC",28615
0,5,11,Ashe,NEW RIVER,NEW RIVER,6067 NC HWY 16 N,"CRUMPLER, NC",28617
0,5,12,Ashe,NORTH FORK,NORTH FORK,157 WORTH CHAPEL RD,"CRESTON, NC",28615
0,5,13,Ashe,0BIDS,OBIDS,7479 NC HWY 16 S,"JEFFERSON, NC",28640
0,5,14,Ashe,OLD FIELDS,OLD FIELDS,922 RAILROAD GRADE RD,"FLEETWOOD, NC",28626
0,5,15,Ashe,PEAK CREEK,PEAK CREEK,7062 NC HWY 88 E,"JEFFERSON, NC",28640
0,5,16,Ashe,PINE SWAMP,PINE SWAMP,9026 US HWY 221 S,"FLEETWOOD, NC",28626
0,5,17,Ashe,POND MOUNTAIN,POND MOUNTAIN,6038 JOINES RD,"CRESTON, NC",28615
0,6,1,Avery,ALTAMONT,CROSSNORE TOWN HALL ANNEX,1 FOUNTAIN CIR,"CROSSNORE, NC",28616
0,6,2,Avery,BANNER ELK,BANNER ELK TOWN HALL,200 PARK AVE,"BANNER ELK, NC",28604
0,6,3,Avery,BEECH MOUNTAIN,BEECH MOUNTAIN ELEMENTARY SCHOOL,60 FLAT SPRINGS RD,"ELK PARK, NC",28622
0,6,4,Avery,CAREYS FLAT,HOPEWELL BAPTIST CHURCH,5104 EDGEMONT RD,"COLLETTSVILLE, NC",28611
0,6,5,Avery,CRANBERRY,CRANBERRIAN CORPORATION,5215 ELK PARK HWY,"ELK PARK, NC",28622
0,6,6,Avery,ELK PARK,AVERY COUNTY RESCUE SQUAD BUILDING,205 ICE PLANT ST,"ELK PARK, NC",28622
0,6,7,Avery,FRANK,FRANK FIRE DEPARTMENT,699 N US HWY 19E,"NEWLAND, NC",28657
0,6,8,Avery,HEATON,HEATON CHRISTIAN CHURCH,210 CURTIS CREEK RD,"ELK PARK, NC",28622
0,6,9,Avery,HUGHES,CHESTNUT DALE BAPTIST CHURCH FELLOWSHIP HALL,1700 SQUIRREL CREEK RD,"NEWLAND, NC",28657
0,6,10,Avery,INGALLS,GREEN VALLEY FIRE HALL,8062 S US HWY 19E,"NEWLAND, NC",28657
0,6,11,Avery,LINVILLE,LINVILLE FIRE HALL,590 NC HWY 105,"NEWLAND, NC",28657
0,6,12,Avery,MINNEAPOLIS,MINNEAPOLIS BAPTIST CHURCH FELLOWSHIP HALL,47 MINNEAPOLIS SCHOOL RD,"NEWLAND, NC",28657
0,6,13,Avery,MONTEZUMA,AARON BAPTIST CHURCH,24 AARON CHURCH LN,"NEWLAND, NC",28657
0,6,14,Avery,NEWLAND # 1,MORRISON LIBRARY,150 LIBRARY PL,"NEWLAND, NC",28657
0,6,15,Avery,NEWLAND # 2,AVERY COUNTY SENIOR CITIZENS BUILDING,155 SCHULTZ ST,"NEWLAND, NC",28657
0,6,16,Avery,PINEOLA,LAND HARBOR RECREATION COMPLEX,22 LAND HARBOR PLZ,"NEWLAND, NC",28657
0,6,17,Avery,PLUMTREE,PLUMTREE PRESBYTERIAN CHURCH,4527 US HWY 19E,"PLUMTREE, NC",28664
0,6,18,Avery,PYATTE,PYATTE COMMUNITY CENTER,141 RODGERS RIDGE RD,"NEWLAND, NC",28657
0,6,19,Avery,ROARING CREEK,ROARING CREEK FREEWILL  BAPTIST CHURCH,1736 ROARING CREEK RD,"NEWLAND, NC",28657
0,7,1,Beaufort,AURORA,AURORA COMMUNITY BUILDING,442 3RD ST,"AURORA, NC",27806
0,7,2,Beaufort,WASHINGTON PARK,WASHINGTON PARK MUNICIPAL BUILDING,408 FAIRVIEW AVE,"WASHINGTON, NC",27889
0,7,3,Beaufort,WOODARDS POND,BUNYAN FIRE DEPARTMENT,8264 BROAD CREEK,"WASHINGTON, NC",27889
0,7,4,Beaufort,BELHAVEN,JOHN A WILKINSON CENTER,144 W MAIN ST,"BELHAVEN, NC",27810
0,7,5,Beaufort,TRANTERS CREEK,CLARKS NECK FIRE DEPARTMENT,3797 WHARTON STATION RD,"WASHINGTON, NC",27889
0,7,6,Beaufort,OLD FORD,OLD FORD RURITAN BUILDING,48 NC HWY 171,"WASHINGTON, NC",27889
0,7,7,Beaufort,CHOCOWINITY,CHOCOWINITY FIRE DEPARTMENT,512 E NC HWY 33,"CHOCOWINITY, NC",27817
0,7,8,Beaufort,GILEAD,CHOCOWINITY FIRE DEPARTMENT,512 E NC HWY 33,"CHOCOWINITY, NC",27817
0,7,9,Beaufort,BLOUNTS CREEK,BLOUNTS CREEK FIRE DEPARTMENT,13965 E NC HWY 33,"BLOUNTS CREEK, NC",27814
0,7,10,Beaufort,EDWARD,EDWARD CHRISTIAN CHURCH,23 S ACADEMY ST,"EDWARD, NC",27821
0,7,11,Beaufort,SURRY-BATH,BATH RURITAN BUILDING,504 CARTERET ST,"BATH, NC",27808
0,7,12,Beaufort,NORTH CREEK,BETHANY UNITED METHODIST CHURCH,2766 SOUTH SAVANNAH RD,"BELHAVEN, NC",27810
0,7,13,Beaufort,PANTEGO,PANTEGO MUNICIPAL BUILDING,142 SWAMP RD,"PANTEGO, NC",27860
0,7,14,Beaufort,HUNTERS BRIDGE,FREE UNION FREE WILL BAPTIST CHURCH,4961 FREE UNION CHURCH RD,"PINETOWN, NC",27865
0,7,15,Beaufort,BEAVER DAM,GRANGE BUILDING,4341 TERRAPIN TRACK RD,"WASHINGTON, NC",27889
0,7,16,Beaufort,RIVER ROAD,BUNYAN RURITAN BUILDING,60 GLEN HAVEN RD,"WASHINGTON, NC",27889
0,7,17,Beaufort,PINETOWN,PINETOWN FIRE DEPARTMENT,7262 N BOYD RD,"PINETOWN, NC",27865
0,7,18,Beaufort,WASHINGTON WARD 1,REDMAN'S LODGE,503 E 3RD ST,"WASHINGTON, NC",27889
0,7,19,Beaufort,WASHINGTON WARD 2,WASHINGTON CIVIC CENTER,110 GLADDEN ST,"WASHINGTON, NC",27889
0,7,20,Beaufort,WASHINGTON WARD 4,7TH STREET RECREATION CENTER,231 E 7TH ST,"WASHINGTON, NC",27889
0,7,21,Beaufort,P S JONES-WASH W3,BEAUFORT CO BOYS AND GIRLS CLUB,1089 BRIDGE ST,"WASHINGTON, NC",27889
0,8,1,Bertie,WINDSOR 1,WINDSOR COMMUNITY BUILDING,201 S QUEEN ST,"WINDSOR, NC",27983
0,8,2,Bertie,COLERAIN 1,COLERAIN MUNICIPAL BUILDING-OLD FIRE DEPT,101 WINTON ST,"COLERAIN, NC",27924
0,8,3,Bertie,COLERAIN 2,POWELLSVILLE TOWN HALL,106 E MAIN ST,"POWELLSVILLE, NC",27967
0,8,6,Bertie,ROXOBEL,KELFORD FIRE DEPARTMENT,106 N MAIN ST,"KELFORD, NC",27847
0,8,7,Bertie,WOODVILLE,LEWISTON WOODVILLE FIRE AND EMS,103 W CHURCH ST,"LEWISTON WOODVILLE, NC",27849
0,8,8,Bertie,SNAKEBITE,MT ARARAT BAPTIST CHURCH,305 COWTRACK RD,"WINDSOR, NC",27983
0,8,11,Bertie,MERRY HILL,MERRY HILL MIDWAY FIRE DEPARTMENT,109 NC HIGHWAY 45 N,"MERRY HILL, NC",27957
0,8,12,Bertie,WINDSOR 2,ASKEWVILLE FIRE DEPARTMENT,105 ASKEWVILLE S RAILROAD ST,"WINDSOR, NC",27983
0,8,14,Bertie,MITCHELLS 2,AULANDER COMMUNITY BUILDING,116 S COMMERCE ST,"AULANDER, NC",27805
0,8,16,Bertie,WHITES,PERRYTOWN FIRE DEPARTMENT,848 PERRYTOWN RD,"COLERAIN, NC",27924
0,8,18,Bertie,INDIAN WOODS,INDIAN WOODS MISSIONARY BAPTIST CHURCH,2330 INDIAN WOODS RD,"WINDSOR, NC",27983
0,8,19,Bertie,MITCHELLS 1,HEXLENA COMMUNITY BUILDING,1427 EARLY STATION RD,"AULANDER, NC",27805
0,9,1,Bladen,ABBOTTS,ABBOTTSBURG SUPERETTE,4517 NC 211 HWY W,"BLADENBORO, NC",28320
0,9,2,Bladen,BETHEL,DUBLIN COMMUNITY CENTER,120 SECOND ST,"DUBLIN, NC",28332
0,9,3,Bladen,BLADENBORO #2,BLADENBORO 2-OLD SPAULDING-MONROE SCHOOL,508 MARTIN LUTHER KING JR DR,"BLADENBORO, NC",28320
0,9,4,Bladen,BLADENBORO #1,BLADENBORO 1-HISTORICAL BUILDING,818 S MAIN ST,"BLADENBORO, NC",28320
0,9,5,Bladen,BROWN MARSH,BROWN MARSH-TOWN HALL,81 N ELM ST,"CLARKTON, NC",28433
0,9,6,Bladen,CARVERS CREEK,CARVERS CREEK-EAST ARCADIA SCHOOL,21451 NC 87 HWY E,"RIEGELWOOD, NC",28456
0,9,7,Bladen,CENTRAL,CENTRAL-SHRINERS BUILDING,2016 NC 242 HWY N,"ELIZABETHTOWN, NC",28337
0,9,8,Bladen,COLLY,COLLY-WHITE LAKE FIRE DEPT,1879 WHITE LAKE DR,"ELIZABETHTOWN, NC",28337
0,9,10,Bladen,ELIZABETHTOWN #1,ELIZABETHTOWN 1-RECREATION DEPARTMENT GYM,803 W KING ST,"ELIZABETHTOWN, NC",28337
0,9,11,Bladen,ELIZABETHTOWN #2,ELIZABETHTOWN 2-POWELL-MELVIN AG SERVICE CENTER,450 SMITH CIR,"ELIZABETHTOWN, NC",28337
0,9,12,Bladen,FRENCHES CREEK,FRENCHES CREEK-KELLY FIRE DEPARTMENT,18628 NC 53 HWY E,"KELLY, NC",28448
0,9,13,Bladen,HOLLOW,HOLLOW-MUNICIPAL BUILDING,14867 NC 87 HWY W,"TAR HEEL, NC",28392
0,9,14,Bladen,LAKE CREEK,LAKE CREEK-BAY TREE FIRE DEPARTMENT,12717 NC 41 HWY E,"HARRELLS, NC",28444
